,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,own_team_form,home,next_team_t,next_team_pos,fantasy_points_t
193,194,Adam,Lallana,Liverpool,8,Midfielder,73,100.0,75.0,1471,3.7,21,4,73,1,False,EVE,7,1
194,195,Lazar,Markovic,Liverpool,8,Midfielder,58,0.0,0.0,0,0.0,0,0,58,1,False,EVE,7,0
195,196,Oluwaseyi,Ojo,Liverpool,8,Midfielder,50,100.0,100.0,0,0.0,0,0,50,1,False,EVE,7,0
196,197,James,Milner,Liverpool,8,Midfielder,65,100.0,100.0,1837,5.0,53,10,67,1,False,EVE,7,6
197,198,Roberto,Firmino,Liverpool,8,Midfielder,81,100.0,100.0,1401,7.0,52,9,81,1,False,EVE,7,0
198,199,Daniel,Sturridge,Liverpool,8,Forward,99,50.0,100.0,352,2.0,8,2,104,1,False,EVE,7,2
199,200,Rickie,Lambert,West Brom,19,Forward,53,,,620,0.0,26,7,56,3,False,CRY,3,0
200,201,Fabio,Borini,Sunderland,16,Forward,54,100.0,100.0,1133,0.8,0,2,54,1,True,WHU,5,2
201,202,Mario,Balotelli,Liverpool,8,Forward,69,0.0,0.0,0,0.0,0,0,69,1,False,EVE,7,0
202,203,Danny,Ings,Liverpool,8,Forward,69,0.0,0.0,313,0.0,32,9,71,1,False,EVE,7,9
203,204,Divock,Origi,Liverpool,8,Forward,54,100.0,100.0,300,1.7,3,1,56,1,False,EVE,7,0
204,205,Joe,Hart,Man City,9,Goalkeeper,55,100.0,100.0,2160,4.0,101,26,57,3,True,NEW,20,3
205,206,Willy,Caballero,Man City,9,Goalkeeper,48,,,180,0.0,0,0,49,3,True,NEW,20,0
206,207,Aleksandar,Kolarov,Man City,9,Defender,60,100.0,100.0,1782,1.0,145,39,61,3,True,NEW,20,2
207,208,Pablo,Zabaleta,Man City,9,Defender,57,100.0,100.0,450,0.3,0,0,58,3,True,NEW,20,1
208,209,Vincent,Kompany,Man City,9,Defender,61,100.0,75.0,819,0.0,108,28,63,3,True,NEW,20,0
209,210,Gaël,Clichy,Man City,9,Defender,53,100.0,100.0,473,5.3,0,0,53,3,True,NEW,20,0
